erlang_index,erlang,general_blocking,BBP,Total_current_utilization,Blocked_by_XT,Ruta_mas_larga,tiempo_transcurrido,conexiones_exitosas,Max_XT_for_modulation_16QAM,Max_XT_for_modulation_8QAM,Max_XT_for_modulation_QPSK,Max_XT_for_modulation_BPSK,conexiones_exitosas_con_16QAM,conexiones_exitosas_con_8QAM,conexiones_exitosas_con_QPSK,conexiones_exitosas_con_BPSK,modulaciones_usadas_en_banda_E_con_16QAM,modulaciones_usadas_en_banda_E_con_8QAM,modulaciones_usadas_en_banda_E_con_QPSK,modulaciones_usadas_en_banda_E_con_BPSK,modulaciones_usadas_en_banda_S_con_16QAM,modulaciones_usadas_en_banda_S_con_8QAM,modulaciones_usadas_en_banda_S_con_QPSK,modulaciones_usadas_en_banda_S_con_BPSK,modulaciones_usadas_en_banda_L_con_16QAM,modulaciones_usadas_en_banda_L_con_8QAM,modulaciones_usadas_en_banda_L_con_QPSK,modulaciones_usadas_en_banda_L_con_BPSK,modulaciones_usadas_en_banda_C_con_16QAM,modulaciones_usadas_en_banda_C_con_8QAM,modulaciones_usadas_en_banda_C_con_QPSK,modulaciones_usadas_en_banda_C_con_BPSK
60,60000,0.174609,0.459919,0.629766,50216,12700,4.4669e+06,825392,-25.2275,-21.0757,-18.5024,-14.1639,275038,269311,256101,24942,0,0,0,0,114095,108865,122890,16975,110508,100328,74714,5198,50435,60118,58497,2769
61,61000,0.176914,0.464122,0.63021,52547,12700,4.03473e+06,823087,-25.2275,-21.0757,-18.5024,-14.1639,274674,268328,254858,25227,0,0,0,0,113851,108984,122092,17242,109971,100346,74097,5339,50852,58998,58669,2646
62,62000,0.178889,0.467542,0.63416,56827,12700,4.36979e+06,821112,-25.2275,-21.0757,-18.5024,-14.1639,273629,268297,254401,24785,0,0,0,0,113333,108667,122450,17236,109932,99622,74596,4956,50364,60008,57355,2593
63,63000,0.181839,0.47297,0.636741,53549,12700,4.91861e+06,818162,-25.2275,-21.0757,-18.5024,-14.1639,273168,267119,252867,25008,0,0,0,0,113636,107372,123337,17087,109558,99120,73193,5181,49974,60627,56337,2740
64,64000,0.183783,0.47632,0.640578,56048,12700,4.77782e+06,816218,-25.2275,-21.0757,-18.5024,-14.1639,271944,266643,252810,24821,0,0,0,0,112681,106979,124492,17176,109464,99008,71836,5166,49799,60656,56482,2479
65,65000,0.18684,0.482408,0.643398,57318,12700,4.11447e+06,813161,-25.2275,-21.0757,-18.5024,-14.2607,270697,265519,252091,24854,0,0,0,0,111293,107722,124233,17188,109266,97366,72566,5096,50138,60431,55292,2570
66,66000,0.189267,0.486494,0.645553,60068,12700,4.55019e+06,810734,-25.2275,-21.0757,-18.5024,-14.1639,270434,264766,250815,24719,0,0,0,0,111728,106545,123363,17040,108343,98018,72732,4932,50363,60203,54720,2747
67,67000,0.191527,0.489833,0.647143,59580,12700,4.79747e+06,808474,-25.2275,-21.0757,-18.5024,-14.2607,269868,262785,251524,24297,0,0,0,0,110782,106255,125162,16849,108619,96516,72377,4735,50467,60014,53985,2713
68,68000,0.19339,0.493395,0.64761,63033,12700,4.75504e+06,806611,-25.2275,-21.0757,-18.5024,-14.1639,268555,264055,249544,24457,0,0,0,0,110436,107315,123311,16932,108379,96076,71892,4964,49740,60664,54341,2561
69,69000,0.195434,0.497705,0.651452,60892,12700,4.95139e+06,804567,-25.2275,-21.0757,-18.5024,-14.1639,267496,263019,249816,24236,0,0,0,0,110018,107215,123274,16873,107779,95902,71803,5022,49699,59902,54739,2341
70,70000,0.197595,0.501362,0.654551,62572,12700,4.90227e+06,802406,-25.2275,-21.0757,-18.5024,-14.2607,267872,261413,249004,24117,0,0,0,0,109620,106206,124310,16841,108062,95027,71929,4589,50190,60180,52765,2687
71,71000,0.200099,0.505422,0.656865,62465,12700,4.58467e+06,799902,-25.2275,-21.0757,-18.5024,-14.3099,266678,260890,248392,23942,0,0,0,0,108999,106445,123223,16672,107912,94519,71507,4693,49767,59926,53662,2577
72,72000,0.20226,0.510244,0.657238,65974,12700,4.82843e+06,797741,-25.2275,-21.0757,-18.5024,-14.1639,264747,261161,247666,24167,0,0,0,0,108396,105932,122691,17008,106489,94972,71392,4782,49862,60257,53583,2377
73,73000,0.203852,0.512354,0.660735,62567,12700,4.64518e+06,796149,-25.2275,-21.0757,-18.5024,-14.2607,264677,259550,247775,24147,0,0,0,0,108262,105798,122991,16835,106985,93023,71940,4887,49430,60729,52844,2425
74,74000,0.205938,0.51666,0.660431,68266,12700,5.16146e+06,794063,-25.2275,-21.0757,-18.5024,-14.1639,264826,257931,247667,23639,0,0,0,0,107834,106061,122816,16629,106782,92505,71839,4427,50210,59365,53012,2583
75,75000,0.208168,0.520383,0.664283,65404,12700,5.33477e+06,791833,-25.2275,-21.0757,-18.5024,-14.1639,263651,257835,246101,24246,0,0,0,0,107406,106263,120905,17054,106869,92714,71904,4756,49376,58858,53292,2436
76,76000,0.209926,0.52344,0.668954,64293,12700,5.1033e+06,790075,-25.2275,-21.0757,-18.5024,-14.1639,262545,256946,246618,23966,0,0,0,0,107217,106969,120898,16684,106379,91230,72761,4815,48949,58747,52959,2467
77,77000,0.212297,0.527597,0.669409,68811,12700,5.66878e+06,787704,-25.2275,-21.0757,-18.5024,-14.2607,262302,255644,245886,23872,0,0,0,0,106714,106557,120539,16892,106305,90467,72394,4701,49283,58620,52953,2279
78,78000,0.214065,0.53005,0.669651,66370,12700,5.26478e+06,785936,-25.2275,-21.0757,-18.5024,-14.3099,262190,254559,245216,23971,0,0,0,0,105797,105134,120211,16810,106259,90940,71972,4847,50134,58485,53033,2314
79,79000,0.215624,0.534069,0.671174,66596,12700,5.64395e+06,784377,-25.2275,-21.0757,-18.5024,-14.2121,260426,254632,245607,23712,0,0,0,0,105411,104695,121415,16558,105485,90886,71795,4696,49530,59051,52397,2458
80,80000,0.217956,0.537528,0.67636,67796,12700,5.39321e+06,782045,-25.2275,-21.0757,-18.5024,-14.3099,260231,253172,245016,23626,0,0,0,0,104557,105623,119523,16517,105254,90106,72397,4676,50420,57443,53096,2433
81,81000,0.219345,0.539776,0.677393,67355,12700,5.47144e+06,780656,-25.2275,-21.0757,-18.5024,-14.3099,259368,252843,244748,23697,0,0,0,0,104086,105368,120008,16494,105126,89234,71876,4747,50156,58241,52864,2456
82,82000,0.220871,0.542421,0.681531,68141,12700,5.75252e+06,779130,-25.2275,-21.0757,-18.5024,-14.2607,259255,252386,244050,23439,0,0,0,0,103678,105256,119270,16361,104350,88944,72300,4658,51227,58186,52480,2420
83,83000,0.22222,0.544408,0.683624,66083,12700,5.58636e+06,777781,-25.2275,-21.0757,-18.5024,-14.3099,258394,251505,244327,23555,0,0,0,0,102749,105574,120035,16275,105047,88180,71710,4732,50598,57751,52582,2548
84,84000,0.223619,0.546851,0.687744,68929,12700,6.20185e+06,776382,-25.2275,-21.0757,-18.5024,-14.2607,258332,250391,244340,23319,0,0,0,0,102835,105205,118950,16171,104254,88405,72062,4628,51243,56781,53328,2520
85,85000,0.225763,0.551176,0.687049,65318,12700,6.07201e+06,774238,-25.2275,-21.0757,-18.5024,-14.2607,257458,250058,242926,23796,0,0,0,0,101765,104995,118305,16685,104706,87930,71448,4526,50987,57133,53173,2585
86,86000,0.227827,0.554667,0.688607,66737,12700,6.47631e+06,772174,-25.2275,-21.0757,-18.5024,-14.2607,256650,249728,242360,23436,0,0,0,0,101197,104981,118744,16183,104010,88674,71096,4707,51443,56073,52520,2546
87,87000,0.228994,0.55672,0.690595,69187,12700,6.03858e+06,771007,-25.2275,-21.0757,-18.5024,-14.1639,256069,248850,243031,23057,0,0,0,0,100704,104161,118356,15971,103764,88382,71660,4656,51601,56307,53015,2430
88,88000,0.230252,0.558228,0.693983,66391,12700,6.07867e+06,769749,-25.2275,-21.0757,-18.5024,-14.1639,255057,249313,241934,23445,0,0,0,0,100389,105348,117849,16235,103552,88076,71362,4781,51116,55889,52723,2429
89,89000,0.231741,0.561592,0.695865,67728,12700,6.3422e+06,768260,-25.2275,-21.0757,-18.5024,-14.2121,254500,248908,241445,23407,0,0,0,0,99991,105035,117473,16450,102955,87806,71478,4531,51554,56067,52494,2426
90,90000,0.233526,0.564097,0.699729,66551,12700,6.2954e+06,766475,-25.2275,-21.0757,-18.5024,-14.2607,254044,247802,241379,23250,0,0,0,0,99479,105988,117963,16418,102927,86258,70811,4481,51638,55556,52605,2351
91,91000,0.235393,0.567611,0.699509,66834,12700,6.53915e+06,764608,-25.2275,-21.0757,-18.5024,-14.3099,253247,247959,240187,23215,0,0,0,0,98828,104749,116730,16416,103196,86833,70591,4583,51223,56377,52866,2216
92,92000,0.236297,0.569399,0.705115,65045,12700,6.38998e+06,763704,-25.2275,-21.0757,-18.5024,-14.3099,252742,248216,239476,23270,0,0,0,0,98536,105545,116390,16635,102386,86790,70491,4405,51820,55881,52595,2230
93,93000,0.238034,0.572152,0.706374,68610,12700,6.378e+06,761967,-25.2275,-21.0757,-18.5024,-14.2607,251732,247282,238903,24050,0,0,0,0,98100,105454,115709,16849,101697,86111,70800,4838,51935,55717,52394,2363
94,94000,0.239479,0.574616,0.709633,67280,12700,6.91932e+06,760522,-25.2275,-21.0757,-18.5024,-14.1639,251422,247302,238254,23544,0,0,0,0,97197,105384,115973,16604,102040,86048,70411,4687,52185,55870,51870,2253
95,95000,0.241364,0.577159,0.709596,63837,12700,6.71131e+06,758637,-25.2275,-21.0757,-18.5024,-14.2121,250697,247277,236659,24004,0,0,0,0,97398,104757,114951,17165,101320,86561,69593,4643,51979,55959,52115,2196
